id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
128230,Castro Sanctuary,634277,Maria,,Castro/Upper Market,37.75737,-122.43566,Entire home/apt,295,2,164,2021-07-05,1.37,1,181
130775,Emergency happy room-sink  UCSF/USF-San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,11,2019-08-17,0.13,9,365
130805,"Hip, Cozy, Creative, Victorian",643713,Sue,,Mission,37.75518,-122.42153,Entire home/apt,97,30,78,2021-05-31,0.96,1,246
132441,"Calm, Cool & Collected
on Sunny Bernal Hill",650862,Kurt,,Bernal Heights,37.73987,-122.4234,Private room,97,1,142,2021-07-20,1.51,1,139
138221,Lone Mountain Pied A Terre,674976,Phil,,Inner Richmond,37.77664,-122.45586,Entire home/apt,140,30,75,2021-07-10,0.77,3,90
138592,Modern Architectural Gem - 4 Bdrm,648553,Julie & Brad,,Noe Valley,37.75635,-122.42864,Entire home/apt,1200,5,28,2021-07-16,0.33,1,109
138772,Garden Studio,261304,Claire,,Castro/Upper Market,37.75848,-122.43246,Private room,150,5,75,2021-06-30,1.06,1,244
142177,"Stylish, Spacious and Quiet Flat!",656263,Noreen,,Outer Richmond,37.7844,-122.47932,Entire home/apt,318,5,213,2021-07-15,2.20,1,37
144242,Lake Street Single Family Home,699215,Kate,,Inner Richmond,37.78546,-122.46148,Entire home/apt,495,30,19,2021-07-17,0.16,1,11
144978,Prime Location - Small Basic Room,216682,Jay,,Pacific Heights,37.79233,-122.42431,Private room,53,30,120,2019-09-30,1.19,9,337
147443,Best Views in all of San Francisco,709325,Mark,,Diamond Heights,37.74633,-122.44591,Entire home/apt,170,30,109,2020-11-23,1.51,5,318
148559,"Super central, modern Victorian Apartment, 2.5 br",717236,Steven,,Castro/Upper Market,37.76612,-122.43124,Entire home/apt,275,5,19,2018-07-16,0.51,1,0
148627,Romantic Marina Garden Studio,709325,Mark,,Marina,37.79961,-122.42771,Entire home/apt,80,30,112,2021-07-09,0.99,5,317
148769,Ground Floor Studio with Garage Parking,709325,Mark,,Twin Peaks,37.75045,-122.44956,Entire home/apt,70,30,91,2021-05-31,1.10,5,259
150347,Cute Private 2Br Apt in the Mission with Parking!,172182,Brian & Leah,,Mission,37.75981,-122.4188,Entire home/apt,149,30,128,2021-05-18,1.18,2,230
150848,SF Urban Haven & Secret Garden,726513,Nancy,,Potrero Hill,37.76276,-122.39357,Private room,75,3,237,2020-01-11,2.15,1,46
166771,DOWNEY STREET - Victorian Flat,794467,Patti,,Haight Ashbury,37.76973,-122.44695,Entire home/apt,132,30,163,2021-06-20,1.66,1,25
175090,FINANCIAL DIST: Gino's Cozy Getaway,127367,Annette,,Financial District,37.79203,-122.40284,Entire home/apt,110,30,24,2015-07-01,0.28,14,361
175102,FIN. DIST: Mario's Studio Penthouse,127367,Annette,,Chinatown,37.79175,-122.4045,Entire home/apt,135,30,51,2018-09-30,0.66,14,341
176274,Mission Outr PvtBDRm2D w/ fridge+microwave,305973,Maria,,Excelsior,37.73072,-122.42436,Private room,45,30,10,2019-10-26,0.08,12,365
183859,"Family-Friendly Flat In San Francisco, CA. USA",882283,Stephen,,Glen Park,37.73604,-122.43777,Entire home/apt,220,3,267,2021-07-28,2.48,1,298
191632,Private Entrance Garden Studio,583207,Maria,,Haight Ashbury,37.77444,-122.44969,Entire home/apt,138,2,498,2020-03-15,5.26,1,0
193292,Nice Rooms With Private 1/2 Bath,937281,Lauren&Sarah,,Noe Valley,37.75117,-122.42567,Private room,120,30,63,2013-10-09,0.66,1,364
199480,One room overlooking Precita Park,974441,Peter,,Bernal Heights,37.74554,-122.412,Private room,80,4,203,2020-02-17,2.73,2,0
201313,Fully Furnished 1 bedroom apartment,1479964,James,,North Beach,37.80356,-122.40437,Entire home/apt,159,30,3,2021-06-26,0.08,17,234
207980,"3 Bdrm City View Home w/Parking, deck,",1023546,Bruce,,Diamond Heights,37.74325,-122.43756,Entire home/apt,345,2,455,2021-07-10,4.17,1,253
208714,Cozy fully furnished one bedroom apartment in SF,1027819,Ac,,Downtown/Civic Center,37.78897,-122.41245,Entire home/apt,199,30,78,2018-01-11,0.65,1,365
208831,Virtually Your Own Apt in Nth Beach,1028577,Peter,,Russian Hill,37.80121,-122.41339,Entire home/apt,160,3,512,2021-07-30,6.49,1,119
209420,Luxury Modern Loft,1031942,Rachel,,South of Market,37.76996,-122.4038,Entire home/apt,225,30,5,2011-10-09,0.04,3,329
209514,Haight Ashbury Experience Room 2,1032643,Josh,,Haight Ashbury,37.77255,-122.44985,Private room,86,1,508,2021-07-19,5.34,5,348
211117,Spacious Garden-Level Apartment,1089812,Lisa,,Western Addition,37.77625,-122.42863,Entire home/apt,130,30,25,2021-06-30,0.34,1,350
212783,Haight Ashbury Experience Room 1,1032643,Josh,,Haight Ashbury,37.77085,-122.44814,Private room,87,1,478,2021-07-09,4.40,5,339
213532,Haight Ashbury Experience Room 4,1032643,Josh,,Haight Ashbury,37.77175,-122.45012,Private room,71,1,538,2021-07-15,6.08,5,333
217106,Great Ashbury Studio in SF  A3,374909,Eric,,Haight Ashbury,37.76551,-122.44614,Entire home/apt,85,30,48,2021-07-31,0.66,14,277
218567,Balcony on Fillmore Street +Parking,1130612,Marin,,Western Addition,37.78618,-122.43209,Entire home/apt,200,30,88,2018-03-07,0.88,1,307
220418,Haight Ashbury Experience Room 3,1032643,Josh,,Haight Ashbury,37.77031,-122.44948,Private room,71,1,457,2021-06-25,4.78,5,336
221342,Penthouse Master Suite Panoramic View with Decks,285168,Bill,,Russian Hill,37.80316,-122.41582,Private room,273,2,230,2021-06-14,2.35,4,53
229240,Dorm Bed In Friendly Hostel Community #3,329072,James & Friends,,Financial District,37.7937,-122.40417,Shared room,46,1,367,2020-03-01,4.06,14,88
229319,Bernal pied-à-terre,12798954,Anya,,Bernal Heights,37.73825,-122.41451,Entire home/apt,135,30,18,2016-01-19,0.25,2,0
231752,Mid-Century Garden Flat in Charming Upper Castro Victorian,691445,LeighAnna,,Castro/Upper Market,37.75751,-122.44016,Entire home/apt,250,30,82,2021-05-26,0.74,1,120
232060,Lovely Private Suite Near UCSF- Monthly Only,1214006,Syl & Art,,Inner Sunset,37.75893,-122.4664,Entire home/apt,99,30,113,2017-09-25,1.00,1,215
